sample_id,cell_line,tissue_site
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RS411_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OVTOKO_OVARY,OVTOKO,OVARY
OVCAR4_OVARY,OVCAR4,OVARY
HLF_LIVER,HLF,LIVER
HCT15_LARGE_INTESTINE,HCT15_LARGE,INTESTINE
SW1463_LARGE_INTESTINE,SW1463_LARGE,INTESTINE
SF295_CENTRAL_NERVOUS_SYSTEM,SF295_CENTRAL_NERVOUS,SYSTEM
WM115_SKIN,WM115,SKIN
JHH4_LIVER,JHH4,LIVER
OE33_OESOPHAGUS,OE33,OESOPHAGUS
CCK81_LARGE_INTESTINE,CCK81_LARGE,INTESTINE
JHH1_LIVER,JHH1,LIVER
SJSA1_BONE,SJSA1,BONE
NCIH2228_LUNG,NCIH2228,LUNG
RERFLCAI_LUNG,RERFLCAI,LUNG
SKMES1_LUNG,SKMES1,LUNG
NCIH520_LUNG,NCIH520,LUNG
JHH5_LIVER,JHH5,LIVER
FU97_STOMACH,FU97,STOMACH
COLO800_SKIN,COLO800,SKIN
NCIH1963_LUNG,NCIH1963,LUNG
RL952_ENDOMETRIUM,RL952,ENDOMETRIUM
J82_URINARY_TRACT,J82_URINARY,TRACT
HCC15_LUNG,HCC15,LUNG
M059K_CENTRAL_NERVOUS_SYSTEM,M059K_CENTRAL_NERVOUS,SYSTEM
CALU6_LUNG,CALU6,LUNG
SKLU1_LUNG,SKLU1,LUNG
SW900_LUNG,SW900,LUNG
UACC62_SKIN,UACC62,SKIN
MFE280_ENDOMETRIUM,MFE280,ENDOMETRIUM
MFE319_ENDOMETRIUM,MFE319,ENDOMETRIUM
MFE296_ENDOMETRIUM,MFE296,ENDOMETRIUM
GOS3_CENTRAL_NERVOUS_SYSTEM,GOS3_CENTRAL_NERVOUS,SYSTEM
GI1_CENTRAL_NERVOUS_SYSTEM,GI1_CENTRAL_NERVOUS,SYSTEM
PC14_LUNG,PC14,LUNG
KYSE410_OESOPHAGUS,KYSE410,OESOPHAGUS
A204_SOFT_TISSUE,A204_SOFT,TISSUE
PATU8902_PANCREAS,PATU8902,PANCREAS
NCIH810_LUNG,NCIH810,LUNG
RERFLCMS_LUNG,RERFLCMS,LUNG
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L1236_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
DANG_PANCREAS,DANG,PANCREAS
NCIH460_LUNG,NCIH460,LUNG
KYSE140_OESOPHAGUS,KYSE140,OESOPHAGUS
KYSE180_OESOPHAGUS,KYSE180,OESOPHAGUS
HUPT3_PANCREAS,HUPT3,PANCREAS
EFE184_ENDOMETRIUM,EFE184,ENDOMETRIUM
GCIY_STOMACH,GCIY,STOMACH
SH10TC_STOMACH,SH10TC,STOMACH
CAOV4_OVARY,CAOV4,OVARY
HCC2218_BREAST,HCC2218,BREAST
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS26_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS27_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KO52_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KNS60_CENTRAL_NERVOUS_SYSTEM,KNS60_CENTRAL_NERVOUS,SYSTEM
KNS81_CENTRAL_NERVOUS_SYSTEM,KNS81_CENTRAL_NERVOUS,SYSTEM
KPNSI9S_AUTONOMIC_GANGLIA,KPNSI9S_AUTONOMIC,GANGLIA
LU99_LUNG,LU99,LUNG
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS34_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MKN1_STOMACH,MKN1,STOMACH
MKN74_STOMACH,MKN74,STOMACH
KP3_PANCREAS,KP3,PANCREAS
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCO2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HSC2_UPPER_AERODIGESTIVE_TRACT,HSC2_UPPER_AERODIGESTIVE,TRACT
KG1C_CENTRAL_NERVOUS_SYSTEM,KG1C_CENTRAL_NERVOUS,SYSTEM
HUH7_LIVER,HUH7,LIVER
KMBC2_URINARY_TRACT,KMBC2_URINARY,TRACT
KMRC20_KIDNEY,KMRC20,KIDNEY
HUCCT1_BILIARY_TRACT,HUCCT1_BILIARY,TRACT
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KIJK_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KALS1_CENTRAL_NERVOUS_SYSTEM,KALS1_CENTRAL_NERVOUS,SYSTEM
HEC108_ENDOMETRIUM,HEC108,ENDOMETRIUM
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HUH28_BILIARY_TRACT,HUH28_BILIARY,TRACT
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMK115_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HEC265_ENDOMETRIUM,HEC265,ENDOMETRIUM
CAL12T_LUNG,CAL12T,LUNG
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKNSH_AUTONOMIC_GANGLIA,SKNSH_AUTONOMIC,GANGLIA
HCC1954_BREAST,HCC1954,BREAST
CAMA1_BREAST,CAMA1,BREAST
HEC6_ENDOMETRIUM,HEC6,ENDOMETRIUM
AM38_CENTRAL_NERVOUS_SYSTEM,AM38_CENTRAL_NERVOUS,SYSTEM
HEC50B_ENDOMETRIUM,HEC50B,ENDOMETRIUM
HSC3_UPPER_AERODIGESTIVE_TRACT,HSC3_UPPER_AERODIGESTIVE,TRACT
HSC4_UPPER_AERODIGESTIVE_TRACT,HSC4_UPPER_AERODIGESTIVE,TRACT
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS11_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KP4_PANCREAS,KP4,PANCREAS
KE39_STOMACH,KE39,STOMACH
COV504_OVARY,COV504,OVARY
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE97_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
VMRCRCW_KIDNEY,VMRCRCW,KIDNEY
HGC27_STOMACH,HGC27,STOMACH
LUDLU1_LUNG,LUDLU1,LUNG
HUG1N_STOMACH,HUG1N,STOMACH
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,U266B1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NUGC4_STOMACH,NUGC4,STOMACH
BGC823_STOMACH,BGC823,STOMACH
HMC18_BREAST,HMC18,BREAST
CAS1_CENTRAL_NERVOUS_SYSTEM,CAS1_CENTRAL_NERVOUS,SYSTEM
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CORL23_LUNG,CORL23,LUNG
MORCPR_LUNG,MORCPR,LUNG
HARA_LUNG,HARA,LUNG
SKOV3_OVARY,SKOV3,OVARY
HPAFII_PANCREAS,HPAFII,PANCREAS
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MC116_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NCIH1568_LUNG,NCIH1568,LUNG
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CA46_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
A498_KIDNEY,A498,KIDNEY
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BCP1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
A673_BONE,A673,BONE
AU565_BREAST,AU565,BREAST
COLO201_LARGE_INTESTINE,COLO201_LARGE,INTESTINE
CAPAN1_PANCREAS,CAPAN1,PANCREAS
NCIH1563_LUNG,NCIH1563,LUNG
NCIH358_LUNG,NCIH358,LUNG
CFPAC1_PANCREAS,CFPAC1,PANCREAS
NIHOVCAR3_OVARY,NIHOVCAR3,OVARY
NCIH1650_LUNG,NCIH1650,LUNG
NCIH1793_LUNG,NCIH1793,LUNG
NCIH1437_LUNG,NCIH1437,LUNG
KNS62_LUNG,KNS62,LUNG
HS578T_BREAST,HS578T,BREAST
BT20_BREAST,BT20,BREAST
SNU182_LIVER,SNU182,LIVER
SKNMC_BONE,SKNMC,BONE
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
FADU_UPPER_AERODIGESTIVE_TRACT,FADU_UPPER_AERODIGESTIVE,TRACT
SJRH30_SOFT_TISSUE,SJRH30_SOFT,TISSUE
MDAMB361_BREAST,MDAMB361,BREAST
MDAMB436_BREAST,MDAMB436,BREAST
PANC0213_PANCREAS,PANC0213,PANCREAS
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DB_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
RDES_BONE,RDES,BONE
CAL27_UPPER_AERODIGESTIVE_TRACT,CAL27_UPPER_AERODIGESTIVE,TRACT
MESSA_SOFT_TISSUE,MESSA_SOFT,TISSUE
SW1271_LUNG,SW1271,LUNG
NCIH1792_LUNG,NCIH1792,LUNG
GCT_SOFT_TISSUE,GCT_SOFT,TISSUE
SKBR3_BREAST,SKBR3,BREAST
SNU16_STOMACH,SNU16,STOMACH
NCIH82_LUNG,NCIH82,LUNG
NCIN87_STOMACH,NCIN87,STOMACH
U2OS_BONE,U2OS,BONE
H4_CENTRAL_NERVOUS_SYSTEM,H4_CENTRAL_NERVOUS,SYSTEM
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GDM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HCC1143_BREAST,HCC1143,BREAST
T24_URINARY_TRACT,T24_URINARY,TRACT
G401_SOFT_TISSUE,G401_SOFT,TISSUE
HCC1937_BREAST,HCC1937,BREAST
HCC1569_BREAST,HCC1569,BREAST
OCUM1_STOMACH,OCUM1,STOMACH
SAOS2_BONE,SAOS2,BONE
D283MED_CENTRAL_NERVOUS_SYSTEM,D283MED_CENTRAL_NERVOUS,SYSTEM
SCC9_UPPER_AERODIGESTIVE_TRACT,SCC9_UPPER_AERODIGESTIVE,TRACT
HCC1395_BREAST,HCC1395,BREAST
NMCG1_CENTRAL_NERVOUS_SYSTEM,NMCG1_CENTRAL_NERVOUS,SYSTEM
TEN_ENDOMETRIUM,TEN,ENDOMETRIUM
HS604T_FIBROBLAST,HS604T,FIBROBLAST
TE9_OESOPHAGUS,TE9,OESOPHAGUS
KNS42_CENTRAL_NERVOUS_SYSTEM,KNS42_CENTRAL_NERVOUS,SYSTEM
KYSE520_OESOPHAGUS,KYSE520,OESOPHAGUS
KYSE270_OESOPHAGUS,KYSE270,OESOPHAGUS
JHUEM1_ENDOMETRIUM,JHUEM1,ENDOMETRIUM
YH13_CENTRAL_NERVOUS_SYSTEM,YH13_CENTRAL_NERVOUS,SYSTEM
IALM_LUNG,IALM,LUNG
NCIH2052_PLEURA,NCIH2052,PLEURA
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EB2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKNFI_AUTONOMIC_GANGLIA,SKNFI_AUTONOMIC,GANGLIA
SKNAS_AUTONOMIC_GANGLIA,SKNAS_AUTONOMIC,GANGLIA
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GA10_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SNU398_LIVER,SNU398,LIVER
SNU423_LIVER,SNU423,LIVER
SCC4_UPPER_AERODIGESTIVE_TRACT,SCC4_UPPER_AERODIGESTIVE,TRACT
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EB1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HCC1187_BREAST,HCC1187,BREAST
SNU387_LIVER,SNU387,LIVER
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HT_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MJ_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
C2BBE1_LARGE_INTESTINE,C2BBE1_LARGE,INTESTINE
SKES1_BONE,SKES1,BONE
EPLC272H_LUNG,EPLC272H,LUNG
BXPC3_PANCREAS,BXPC3,PANCREAS
NCIH1355_LUNG,NCIH1355,LUNG
SNU5_STOMACH,SNU5,STOMACH
SNU475_LIVER,SNU475,LIVER
HEC251_ENDOMETRIUM,HEC251,ENDOMETRIUM
HCC95_LUNG,HCC95,LUNG
253J_URINARY_TRACT,253J_URINARY,TRACT
HCC1438_LUNG,HCC1438,LUNG
253JBV_URINARY_TRACT,253JBV_URINARY,TRACT
RPMI7951_SKIN,RPMI7951,SKIN
SNU1066_UPPER_AERODIGESTIVE_TRACT,SNU1066_UPPER_AERODIGESTIVE,TRACT
SNU1041_UPPER_AERODIGESTIVE_TRACT,SNU1041_UPPER_AERODIGESTIVE,TRACT
HCC2108_LUNG,HCC2108,LUNG
COLO783_SKIN,COLO783,SKIN
HCC1359_LUNG,HCC1359,LUNG
BICR31_UPPER_AERODIGESTIVE_TRACT,BICR31_UPPER_AERODIGESTIVE,TRACT
COV362_OVARY,COV362,OVARY
COLO792_SKIN,COLO792,SKIN
COV434_OVARY,COV434,OVARY
WM983B_SKIN,WM983B,SKIN
HS751T_FIBROBLAST,HS751T,FIBROBLAST
LS513_LARGE_INTESTINE,LS513_LARGE,INTESTINE
NCIH2110_LUNG,NCIH2110,LUNG
CHAGOK1_LUNG,CHAGOK1,LUNG
DMS454_LUNG,DMS454,LUNG
CORL47_LUNG,CORL47,LUNG
FTC238_THYROID,FTC238,THYROID
DMS273_LUNG,DMS273,LUNG
FTC133_THYROID,FTC133,THYROID
CORL311_LUNG,CORL311,LUNG
NCIH2286_LUNG,NCIH2286,LUNG
NCIH1339_LUNG,NCIH1339,LUNG
WM793_SKIN,WM793,SKIN
A704_KIDNEY,A704,KIDNEY
MDAMB435S_SKIN,MDAMB435S,SKIN
WM1799_SKIN,WM1799,SKIN
MEWO_SKIN,MEWO,SKIN
WM88_SKIN,WM88,SKIN
NCIH2081_LUNG,NCIH2081,LUNG
HS255T_FIBROBLAST,HS255T,FIBROBLAST
NCIH1092_LUNG,NCIH1092,LUNG
SW837_LARGE_INTESTINE,SW837_LARGE,INTESTINE
JHH6_LIVER,JHH6,LIVER
IGR1_SKIN,IGR1,SKIN
NCIH1105_LUNG,NCIH1105,LUNG
NCIH1436_LUNG,NCIH1436,LUNG
NCIH1876_LUNG,NCIH1876,LUNG
CORL24_LUNG,CORL24,LUNG
COV644_OVARY,COV644,OVARY
GP2D_LARGE_INTESTINE,GP2D_LARGE,INTESTINE
PECAPJ15_UPPER_AERODIGESTIVE_TRACT,PECAPJ15_UPPER_AERODIGESTIVE,TRACT
CORL88_LUNG,CORL88,LUNG
CORL95_LUNG,CORL95,LUNG
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,PECAPJ49_UPPER_AERODIGESTIVE,TRACT
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,PECAPJ34CLONEC12_UPPER_AERODIGESTIVE,TRACT
CORL51_LUNG,CORL51,LUNG
RT11284_URINARY_TRACT,RT11284_URINARY,TRACT
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,PECAPJ41CLONED2_UPPER_AERODIGESTIVE,TRACT
